Beds,Baths,SQFT,Lot_Size,Has_Garage,New_Construction,Days_on_Market,Property_Type,Asking_Price,Sold_Price,Difference_in_Price,Stories,Condition,Parking_Spaces,Central_Air,Tax_Value,Property Age,distance_from_downtown,distance_from_metro,regions
2.0,2.0,561.0,0.01,No,No,2,Townhouse,899000.0,909000,10000.0,1,Very Good,1,Yes,727930,8,1.2237138556384928,0.1921359286760837,DC Other
6.0,4.5,1020.0,1800.0,Yes,Yes,26,Townhouse,1895000.0,1857500,-37500.0,3,Excellent,0,Yes,1895000,1,2.291794290699091,0.7456193643111607,DC Other
3.0,2.0,5192.0,2875.0,No,No,22,Townhouse,735000.0,735000,0.0,3,Average,0,Yes,633251,81,5.411433911209401,0.6801986646679105,VA
5.0,3.5,2594.0,23421.0,Yes,No,6,Single Family,800000.0,825000,25000.0,3,Average,0,Yes,648300,33,13.434714007799075,5.501555788232689,MD
5.0,4.5,1805.0,91040.0,Yes,No,5,Single Family,1295000.0,1387000,92000.0,3,Average,0,Yes,1075500,34,16.979847738407877,6.7365374488008545,MD
3.0,3.0,1700.0,1307.0,No,No,22,Townhouse,559000.0,550000,-9000.0,3,Average,2,Yes,505500,40,11.096830526703137,1.3199435963400359,VA
4.0,3.0,457.0,8515.0,Yes,No,3,Single Family,574990.0,650000,75010.0,3,Average,0,Yes,407100,34,16.562696378606784,5.853300483638372,MD
2.0,2.0,1224.0,0.0,No,No,3,Townhouse,650000.0,670000,20000.0,1,Very Good,0,Yes,583210,113,1.4780653632407772,0.8563935418506131,DC Other
3.0,1.5,1082.0,4018.0,No,No,51,Townhouse,549000.0,533000,-16000.0,3,Very Good,0,Yes,424810,80,3.9944577295388974,0.7234101191724892,DC Other
2.0,2.0,2300.0,3634.0,No,No,8,Townhouse,549900.0,547700,-2200.0,3,Average,0,Yes,456850,74,8.076631508567806,0.4510461346797111,VA
3.0,2.5,1621.0,1646.0,No,No,7,Townhouse,1235000.0,1215500,-19500.0,2,Average,0,Yes,911119,151,6.309614028210861,0.4268950829973625,VA
3.0,2.5,2194.0,2228.0,No,No,4,Townhouse,1050000.0,1150000,100000.0,3,Average,0,Yes,937660,95,4.729815367085569,0.26044298022896345,DC Other
3.0,3.5,4240.0,1361.0,Yes,No,4,Townhouse,332500.0,334000,1500.0,3,Very Good,0,Yes,312400,7,24.731829245423214,13.49452608185221,VA
5.0,4.5,1548.0,6174.0,Yes,No,3,Single Family,1349000.0,1450000,101000.0,3,Excellent,0,Yes,1111000,5,8.929080136980291,1.2592849517372608,MD
3.0,3.5,786.0,1361.0,Yes,No,4,Townhouse,332500.0,334000,1500.0,3,Very Good,0,Yes,312400,7,24.731829245423214,13.49452608185221,VA
5.0,4.5,1364.0,6174.0,Yes,No,3,Single Family,1349000.0,1450000,101000.0,3,Excellent,0,Yes,1111000,5,8.929080136980291,1.2592849517372608,MD
4.0,2.5,666.0,8360.0,Yes,No,15,Single Family,440000.0,443400,3400.0,2,Very Good,0,Yes,345900,49,21.18386976949083,4.767336882428048,MD
3.0,3.0,1512.0,1968.0,No,No,8,Townhouse,609900.0,609900,0.0,3,Average,0,Yes,479733,29,16.927585265571675,2.518804946825489,MD
3.0,2.0,795.0,5500.0,No,No,6,Single Family,325000.0,358000,33000.0,2,Average,0,Yes,296400,71,10.047955021034646,0.30614853489328736,MD
3.0,3.0,1656.0,0.0,No,No,5,Townhouse,519000.0,519000,0.0,4,Very Good,0,Yes,423630,35,15.806422672677513,5.9897633943766975,VA
3.0,2.5,2960.0,0.0,No,No,8,Townhouse,840000.0,842500,2500.0,3,Excellent,1,Yes,862210,16,3.297795584086689,0.9819485264022125,DC Other
3.0,3.5,6294.0,2655.0,Yes,No,3,Townhouse,459000.0,469000,10000.0,3,Average,0,Yes,372700,34,11.563496812617192,3.7647110761254527,MD
5.0,3.5,1916.0,8400.0,Yes,No,4,Single Family,539000.0,540000,1000.0,3,Average,0,Yes,463200,35,11.66182339010459,3.8337770659414656,MD
4.0,3.5,1835.0,20146.0,Yes,No,95,Single Family,675000.0,657000,-18000.0,3,Very Good,0,Yes,618000,40,17.967945238425195,5.550579393265742,MD
4.0,4.5,1447.0,10290.0,Yes,No,39,Single Family,778888.0,760000,-18888.0,3,Very Good,0,Yes,641500,31,18.555529127740424,4.61652164837534,MD
3.0,2.5,18450.0,1600.0,Yes,No,5,Townhouse,429000.0,420000,-9000.0,3,Average,0,Yes,402433,19,23.032213705632014,7.12693017056378,MD
4.0,3.0,2596.0,7554.0,No,No,5,Single Family,649900.0,703000,53100.0,4,Average,0,Yes,414200,67,8.756375271809528,0.9043841096965917,MD
3.0,3.5,1774.0,6116.0,No,No,64,Townhouse,369900.0,355000,-14900.0,3,Average,2,Yes,283333,32,17.7542260264436,5.740088563590141,MD
5.0,4.5,2480.0,20594.0,Yes,No,85,Single Family,874950.0,860000,-14950.0,3,Very Good,0,Yes,724900,21,18.417171123741173,4.7182126512503295,MD
3.0,2.0,1606.0,7847.0,No,No,6,Single Family,579000.0,630000,51000.0,3,Excellent,0,Yes,471667,83,8.165393089517485,1.9938980721949833,MD
3.0,2.0,1794.0,1896.0,No,No,10,Townhouse,950000.0,950000,0.0,3,Excellent,0,Yes,851740,95,2.4659380036284553,1.2145614989162605,DC Other
3.0,2.0,1277.0,1957.0,No,No,3,Townhouse,679000.0,675000,-4000.0,3,Very Good,0,Yes,578970,24,12.297167433635144,1.863643437630742,VA
2.0,2.0,2049.0,2134.0,No,No,13,Townhouse,540000.0,575000,35000.0,2,Good,0,Yes,393050,70,4.500673640241854,0.5996302095259597,DC Other
4.0,3.5,559.0,6027.0,No,No,24,Single Family,950000.0,925000,-25000.0,3,Very Good,0,Yes,714600,58,5.204205345792137,1.4178257424894536,VA Arlington
3.0,2.5,945.0,1637.0,No,No,12,Townhouse,1600000.0,1500000,-100000.0,2,Average,0,Yes,1189700,131,0.8856050237570272,0.46595983668561214,DC Other
3.0,2.0,1616.0,1120.0,No,No,31,Townhouse,890000.0,880000,-10000.0,3,Average,0,Yes,731290,126,2.5857660814342247,0.7166588701701294,DC Other
4.0,3.0,1376.0,6431.0,Yes,No,5,Single Family,549000.0,550000,1000.0,2,Excellent,0,Yes,463367,16,14.818334173661285,4.851421933410191,MD
3.0,3.0,5675.0,5220.0,Yes,No,6,Single Family,1099000.0,1207000,108000.0,3,Excellent,0,Yes,974800,92,5.649837299773782,0.8373205570792889,MD
4.0,3.0,863.0,10559.0,Yes,No,44,Single Family,1295000.0,1280000,-15000.0,3,Average,0,Yes,884220,65,6.159200194255139,1.4437558935941377,DC Other
5.0,3.0,1773.0,1812.0,No,No,3,Townhouse,1175000.0,1275000,100000.0,3,Average,0,Yes,999710,92,2.339447020110674,1.0788406355768474,DC Other
3.0,2.5,2600.0,5689.0,No,No,8,Single Family,785000.0,751000,-34000.0,3,Average,0,Yes,643000,72,8.808624281413918,1.4882301351991898,MD
4.0,3.5,705.0,1700.0,No,No,5,Townhouse,899900.0,945500,45600.0,3,Average,0,Yes,788310,101,2.1235462100727305,0.6384061233747038,DC Other
3.0,3.0,2430.0,1800.0,Yes,No,4,Townhouse,694900.0,694900,0.0,3,Very Good,0,No,589600,84,3.8895860569362655,0.4530702964557169,DC Other
3.0,3.0,2048.0,2625.0,No,No,4,Townhouse,499900.0,530500,30600.0,3,Very Good,0,Yes,435000,43,15.614982147033523,5.226840249095237,VA
3.0,2.5,1900.0,1524.0,Yes,No,5,Townhouse,460000.0,450000,-10000.0,4,Excellent,0,Yes,385100,11,18.94098703412683,2.4806989836873616,MD
4.0,3.0,2836.0,8098.0,No,No,6,Single Family,685000.0,725000,40000.0,2,Average,0,Yes,534200,71,8.815946655714216,2.086384985174244,MD
3.0,3.5,1119.0,1742.0,No,No,5,Townhouse,595000.0,612000,17000.0,3,Very Good,2,Yes,568430,40,12.941374085883353,0.3216000854002554,VA
3.0,3.5,2144.0,2349.0,No,No,6,Townhouse,599000.0,626000,27000.0,3,Average,2,Yes,515950,47,13.375618419635671,0.6994240266794792,VA
3.0,3.0,810.0,947.0,Yes,No,7,Townhouse,689000.0,741000,52000.0,4,Very Good,0,Yes,609500,11,13.166634645172406,0.7707647025503799,VA
3.0,2.5,892.0,2411.0,No,No,30,Townhouse,625000.0,585000,-40000.0,3,Excellent,2,Yes,552890,42,13.014999575770378,0.42311867534086595,VA
4.0,3.0,2836.0,1760.0,No,No,6,Townhouse,549495.0,560000,10505.0,3,Average,1,Yes,488310,50,12.998990890553378,0.518769832929499,VA
3.0,3.0,570.0,1650.0,No,No,29,Townhouse,599000.0,566000,-33000.0,3,Very Good,0,Yes,546360,41,12.881418013365243,0.25018930674000256,VA
4.0,3.5,976.0,2292.0,Yes,No,7,Townhouse,695000.0,695000,0.0,4,Average,0,Yes,604300,7,20.060301191184152,4.044492833162103,MD
3.0,3.0,4560.0,1650.0,No,No,29,Townhouse,599000.0,566000,-33000.0,3,Very Good,0,Yes,546360,41,12.881418013365243,0.25018930674000256,VA
4.0,3.5,2100.0,2292.0,Yes,No,7,Townhouse,695000.0,695000,0.0,4,Average,0,Yes,604300,7,20.060301191184152,4.044492833162103,MD
4.0,3.5,1692.0,1436.0,Yes,No,4,Townhouse,899000.0,915000,16000.0,3,Average,0,Yes,855300,11,4.613971445073967,1.6927192310137735,VA Arlington
5.0,4.5,750.0,9326.0,No,No,6,Single Family,1695000.0,1695000,0.0,3,Average,0,Yes,1759470,35,3.4996797004901796,0.34626058165013546,DC Other
5.0,4.5,1096.0,2150.0,No,No,20,Townhouse,1599000.0,1599000,0.0,4,Average,0,Yes,813600,110,1.878819947364362,0.3659167351816491,DC Other
5.0,3.5,1308.0,8551.0,Yes,No,5,Single Family,994000.0,1050000,56000.0,3,Excellent,0,Yes,787400,35,11.635093367689285,0.7026530821814349,MD
4.0,2.5,720.0,8983.0,Yes,No,6,Single Family,550000.0,610000,60000.0,3,Very Good,0,Yes,462800,29,20.4317882318291,4.331793954701511,MD
4.0,2.5,2520.0,11635.0,Yes,No,9,Single Family,480000.0,480000,0.0,3,Average,0,Yes,388300,21,9.271728232484948,4.096635488244892,MD
4.0,3.5,3101.0,2105.0,No,No,26,Townhouse,1295000.0,1300000,5000.0,3,Average,0,Yes,1057930,111,2.4490973289686346,0.5897579925722624,DC Other
4.0,2.0,2485.0,1809.0,No,No,6,Townhouse,725000.0,765000,40000.0,3,Average,0,Yes,590270,92,4.116893829329284,0.6399599231526444,DC Other
4.0,3.5,509.0,6022.0,Yes,No,4,Single Family,1250000.0,1425000,175000.0,4,Average,0,Yes,969110,80,3.8091438449465618,0.493302178825068,DC Other
3.0,2.5,1187.0,0.0,Yes,No,1,Townhouse,1655255.0,1655255,0.0,2,Average,0,Yes,1377570,8,1.1795490402962499,0.07975542666892403,DC Other
4.0,2.5,1882.0,1658.0,No,No,9,Townhouse,875000.0,865000,-10000.0,4,Very Good,0,Yes,681020,99,3.195852238920564,1.1087821567002338,DC Other
3.0,4.0,2640.0,13176.0,Yes,No,31,Single Family,1495000.0,1455000,-40000.0,3,Good,0,Yes,1111800,65,6.368564809352452,1.1889285634750886,MD
4.0,3.0,2282.0,2100.0,No,No,10,Townhouse,445000.0,460000,15000.0,3,Average,2,Yes,298600,37,10.40833966308446,2.5472061059511093,MD
4.0,2.0,3900.0,1920.0,No,No,13,Townhouse,480000.0,502500,22500.0,4,Average,0,Yes,402833,3,12.826760681470512,3.1204196660684,MD
2.0,1.0,1566.0,30129.0,Yes,No,4,Single Family,760000.0,762500,2500.0,4,Very Good,0,Yes,647130,43,17.44658883184983,2.983293636053752,VA
5.0,2.5,2014.0,1104.0,No,No,21,Townhouse,275000.0,278000,3000.0,2,Average,1,Yes,188267,48,21.12061765856892,4.654107819728488,MD
3.0,3.5,1850.0,11294.0,Yes,No,16,Single Family,1250000.0,1250000,0.0,2,Very Good,0,Yes,1228100,5,7.357803668580183,0.9486664835055842,MD
4.0,2.0,2192.0,0.0,Yes,No,19,Townhouse,729900.0,715000,-14900.0,3,Average,0,Yes,773520,7,3.4132877135241033,0.7197553982222766,DC Other
2.0,1.0,2100.0,11814.0,Yes,No,42,Single Family,699900.0,680000,-19900.0,3,Average,0,Yes,535400,37,17.752743550911703,5.124914732530988,MD
4.0,3.5,2200.0,10502.0,No,No,17,Single Family,699000.0,710000,11000.0,2,Very Good,0,Yes,586510,57,12.42799228830574,4.776940353419291,VA
5.0,2.0,2140.0,2400.0,No,No,5,Townhouse,545000.0,552250,7250.0,3,Average,0,Yes,482410,35,20.065449339105683,5.645452211390195,VA
3.0,2.5,1040.0,5004.0,Yes,No,14,Single Family,850000.0,900000,50000.0,3,Average,0,Yes,811630,10,5.312263887349658,0.3871177374911908,DC River East
2.0,2.0,10500.0,37259.0,Yes,No,4,Single Family,1585000.0,1640000,55000.0,3,Very Good,0,No,1398350,21,16.495749416428254,3.0252934926840362,VA
3.0,3.0,2400.0,8814.0,Yes,No,9,Single Family,545000.0,565000,20000.0,1,Excellent,0,Yes,451980,45,19.854726949815543,4.077864429905419,VA
3.0,2.5,3477.0,7148.0,No,No,6,Single Family,599990.0,640000,40010.0,3,Very Good,0,Yes,560600,76,4.1957407201760315,1.4123355781630067,DC Other
3.0,5.5,2404.0,3224.0,Yes,No,16,Townhouse,389900.0,400000,10100.0,3,Very Good,0,Yes,315000,16,14.296232265760404,4.462293450640972,MD
6.0,3.0,2100.0,2178.0,Yes,No,23,Townhouse,469990.0,459000,-10990.0,3,Very Good,0,Yes,401270,24,22.20773856669678,7.1719427126596145,VA
3.0,2.0,1650.0,36532.0,Yes,No,2,Single Family,1485000.0,1475000,-10000.0,3,Average,0,Yes,1257880,22,18.036116613134823,3.8417732351252543,VA
2.0,3.5,1253.0,3502.0,Yes,No,5,Single Family,525000.0,535000,10000.0,3,Average,0,Yes,434220,27,22.014037613059003,9.600773479873663,VA
2.0,2.5,1080.0,10399.0,Yes,No,8,Single Family,755000.0,755000,0.0,2,Very Good,0,Yes,628350,34,19.460382317817338,3.542950161226107,VA
4.0,3.0,1710.0,14450.0,Yes,No,5,Single Family,490000.0,508600,18600.0,2,Good,0,Yes,381500,55,17.768926641181164,7.822741522475624,MD
3.0,2.5,2250.0,20046.0,Yes,No,5,Single Family,795000.0,856000,61000.0,3,Average,0,Yes,705110,46,17.035061369530982,5.131021304710577,VA
4.0,1.0,2556.0,4792.0,Yes,No,22,Single Family,620000.0,622500,2500.0,2,Average,0,Yes,558700,15,24.86962849764045,9.322693158331921,VA
2.0,2.0,4590.0,11752.0,No,No,7,Single Family,659500.0,661219,1719.0,2,Excellent,0,Yes,549080,49,15.031996252740841,4.837454861744952,VA
5.0,3.5,3945.0,0.0,Yes,No,29,Townhouse,589990.0,575000,-14990.0,3,Excellent,2,Yes,573200,17,10.133630539600377,1.209777618350476,VA
4.0,3.0,673.0,29437.0,Yes,No,9,Single Family,1200000.0,1200000,0.0,3,Very Good,0,Yes,902790,56,14.184652126367425,2.5382932558827314,VA
2.0,3.0,520.0,1400.0,No,No,15,Townhouse,699900.0,710000,10100.0,3,Very Good,2,Yes,626730,38,7.670487078308072,0.6099423956946182,VA
6.0,3.5,2185.0,2080.0,No,No,23,Townhouse,575000.0,550000,-25000.0,3,Average,2,Yes,471970,43,16.256704874078856,5.7388551269680885,VA
3.0,3.5,1292.0,2150.0,No,No,4,Townhouse,1999999.0,1900000,-99999.0,3,Average,0,Yes,1827040,109,0.8549493003285772,0.32516460914068507,DC Other
3.0,3.5,3315.0,6300.0,Yes,No,3,Single Family,1390000.0,1450000,60000.0,3,Excellent,0,Yes,1131900,80,3.6470311017330572,0.6261992515522518,VA Arlington
4.0,3.0,935.0,1500.0,No,No,5,Townhouse,560000.0,545000,-15000.0,3,Good,0,Yes,515490,32,11.147479369489869,1.9944174142069222,VA
4.0,2.5,2212.0,8999.0,No,No,16,Single Family,475000.0,472000,-3000.0,3,Good,0,No,416800,45,23.909310469442126,12.799702431609324,VA
2.0,3.0,2721.0,4419.0,No,No,6,Single Family,999999.0,1027760,27761.0,3,Average,0,Yes,723200,94,4.928771002759627,1.8466874118359182,DC Other
1.0,4.0,1630.0,47916.0,Yes,No,47,Single Family,1100000.0,969000,-131000.0,5,Excellent,0,Yes,400170,62,18.82009428564993,8.020880880774461,VA
